utc_time,hash_uri,country,platform,channel,is_buyer
2018-08-09 00:15:00,10a3722c3d0a9b62740d2348b5280213,United States,iOS,Direct,0
2018-08-09 00:15:20,f39c2c1c9ae64992a6fba340485017d6,United States,Windows,Direct,0
2018-08-09 00:15:37,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,0
2018-08-09 00:15:42,7c7b731244071b9328b4f9b8718a72d5,United States,iOS,Direct,0
2018-08-09 00:16:02,95864664247daf0ccfb01a9c71d42b3d,United States,Mac,Direct,0
2018-08-09 00:16:07,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,0
2018-08-09 00:16:55,7c7b731244071b9328b4f9b8718a72d5,United States,Android,Direct,0
2018-08-09 00:16:57,6fbaee4b74f1811b6d2beedc6b4b3924,United States,Windows,Direct,0
2018-08-09 00:17:05,10a3722c3d0a9b62740d2348b5280213,United States,Windows,Direct,0
2018-08-09 00:17:20,10a3722c3d0a9b62740d2348b5280213,United States,Windows,Direct,0
2018-08-09 00:17:22,7c7b731244071b9328b4f9b8718a72d5,United States,Windows,Direct,0
2018-08-09 00:17:49,6dc83f1e6a373e036bbaed7240b2ab7e,United States,Windows,Direct,0
2018-08-09 00:17:52,6dc83f1e6a373e036bbaed7240b2ab7e,United States,Windows,Direct,0
2018-08-09 00:17:58,e7ccfddc6321f69a6cc6352590de14df,Thailand,Windows,Direct,1
2018-08-09 00:18:00,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,0
2018-08-09 00:18:10,e1e9fc00dbe4d95962c7db80095fa9ca,United States,Linux,Direct,1
2018-08-09 00:18:15,71bd74ee473867ae99fe16692acd2272,United States,iOS,Direct,1
2018-08-09 00:18:16,0c15b7929568e564e357aabf04df3b0f,United States,Windows,Direct,0
2018-08-09 00:18:34,787f2951bac04a20294a32faf719101b,United States,iOS,Direct,0
2018-08-09 00:18:37,787f2951bac04a20294a32faf719101b,United States,iOS,Direct,0
2018-08-09 00:18:45,787f2951bac04a20294a32faf719101b,United States,iOS,Direct,0
2018-08-09 00:18:49,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,0
2018-08-09 00:18:59,556365f9c7b8bcd3164f124f11e342ee,United States,Windows,Direct,0
2018-08-09 00:19:28,74e708ae946785a5f0b52f7c5941f5a8,United States,iOS,Direct,1
2018-08-09 00:20:18,4c8359ba626712696a8c532a44510233,United States,Windows,Direct,0
2018-08-09 00:21:14,7c7b731244071b9328b4f9b8718a72d5,United States,iOS,Direct,1
2018-08-09 00:21:30,c3dcbecc3dc8997e0ccb5a6e974c1c3e,United States,Windows,Direct,1
2018-08-09 00:21:44,ace52fb7fbf069332795f1dd085345a4,United States,Windows,Direct,0
2018-08-09 00:22:03,0c15b7929568e564e357aabf04df3b0f,United States,Windows,Direct,0
2018-08-09 00:22:08,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,1
2018-08-09 00:22:14,0c15b7929568e564e357aabf04df3b0f,United States,Windows,Direct,1
2018-08-09 00:22:18,6469e26317f16404e4892ed03e437858,United States,Windows,Direct,0
2018-08-09 00:23:11,72d74f43e75fcf9c4978bccaddac7fe6,United States,iOS,Direct,1
2018-08-09 00:23:41,421a307e454ecc516d475be3183edf86,United States,iOS,Direct,1
2018-08-09 00:23:43,6b4625b3f111741141324132b7c8d630,United States,Android,Direct,0
2018-08-09 00:24:25,473618e6b72b6d0e6dabdf15ce4ca1b2,United States,iOS,Direct,0
2018-08-09 00:24:52,4410af8547ebda094d66c4d2928d28ac,United States,iOS,Direct,0
2018-08-09 00:25:31,a7f59e8171c3fcd8d5dd284f2a1975d2,United States,iOS,Direct,0
2018-08-09 00:25:32,7c7b731244071b9328b4f9b8718a72d5,United States,Windows,Direct,0
2018-08-09 00:25:43,8fd4015b4cb098ccd4d58d26691ab192,United States,Android,Direct,0
2018-08-09 00:25:47,2e04304721463b410320f42cc8c07d02,United States,iOS,Direct,1
2018-08-09 00:26:10,e63f9924dbcaf518b22896beea6ac8c8,United States,Windows,Direct,0
2018-08-09 00:26:45,8dbcaa956d049a99ffb64db0f73e0ba3,United States,Windows,Direct,0
2018-08-09 00:27:03,7b3a21a33973a2a21dea68b8629a4cf7,United States,Mac,Direct,0
2018-08-09 00:27:33,8ab337985dfc9e8d126e39a1b6a53b4d,United States,Mac,Direct,0
2018-08-09 00:28:25,6b4625b3f111741141324132b7c8d630,United States,Windows,Direct,0
2018-08-09 00:28:25,6b4625b3f111741141324132b7c8d630,United States,Windows,Direct,0
2018-08-09 00:29:07,b47fc32c3970b004168ac50337e31176,United States,Android,Direct,0
2018-08-09 00:29:38,b7086d37070c484c1b41fbc92328c6eb,United States,iOS,Direct,0
2018-08-09 00:29:57,1979a15aa0107712753a2d6b9b22a255,United States,Windows,Direct,0
2018-08-09 00:30:04,7f5d1a2a861fbc2ad2ea74e458c7efce,United States,Windows,Direct,0
2018-08-09 00:30:23,efb4ff6195f274f535b2b54a1a46a40b,Australia,Windows,Direct,0
2018-08-09 00:30:34,6b4625b3f111741141324132b7c8d630,United States,iOS,Direct,0
2018-08-09 00:30:47,613f65a4defe7983152b032066485a7b,United States,iOS,Direct,0
2018-08-09 00:31:31,382dcc05430126b5616215652924bdb7,United States,Linux,Direct,0
2018-08-09 00:32:17,b05a7f53713a50af26dfd620a6048223,United States,Mac,Direct,0
2018-08-09 00:32:52,e1e9fc00dbe4d95962c7db80095fa9ca,United States,iOS,Direct,0
2018-08-09 00:32:53,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,0
2018-08-09 00:33:05,4a4c1fd51a8fd21d0b02143756d92324,United States,Mac,Direct,0
2018-08-09 00:33:25,b7cc5b4854052e8840ecfe66dfb2a594,United States,iOS,Direct,0
2018-08-09 00:33:26,e0c264f4dc6e8ba89b9068135810ec0e,United States,Android,Direct,0
